week,min_cell_voltage_mean,pack_voltage_mean,current_std,soc_sum,pack_voltage_sum,min_cell_voltage_sum,max_cell_voltage_sum,voltage_diff_mean,capacity
0,3.888098218,350.4810938,9.923055993,269710.0,1482139.6,16441.844,16549.572,0.025900269,134.4948088
1,3.952115133,356.2630777,9.344799723,640132.8,3342813.2,37084.736,37291.406,0.022757086,134.4948088
2,3.946735722,355.800455,8.41772793,778782.0,3915530.6,43432.975,43678.875,0.022304748,134.9431016
3,3.926880686,354.0175391,6.381163942,588195.2,3204300.8,35545.692,35744.921,0.023399629,134.600491
4,3.970738298,358.0212876,8.534601159,654119.6,3273362.1,36305.82,36517.057,0.02379104,134.600491
5,3.946095143,355.7934578,9.777070759,642179.6,3440131.5,38156.588,38378.545,0.023367394,134.1683138
6,3.926965745,354.0949848,7.584141894,543762.8,2986521.2,33123.217,33324.894,0.024927631,133.999027
7,3.903240461,351.9545677,7.255742166,551124.8,3069976.2,34047.481,34251.365,0.023787645,133.999027
8,3.96410208,357.4935869,8.154345245,598290.4,3067234.8,34012.858,34214.63,0.02390551,133.8333332
9,3.964063746,357.5098217,6.469306539,589497.2,3070288.3,34046.964,34249.198,0.024884132,133.8333332
10,3.918299918,353.3637085,9.05469868,594828.0,3233482.8,35854.749,36077.734,0.024445352,132.3816399
11,3.887071699,350.5525965,9.775966097,675866.8,3910332.2,43359.275,43636.79,0.024767674,131.6666105
12,3.918600399,353.4657749,8.277753043,602970.4,3351576.1,37157.96,37414.308,0.027220943,131.1892974
13,3.885107326,350.4300816,4.469557735,709119.2,4244973.5,47066.966,47373.22,0.025938372,130.044388
14,3.867304169,348.8013975,5.70152058,543045.2,3122863.1,34624.433,34847.689,0.025026479,129.9744599
15,3.94796138,356.2123287,4.533739534,495872.8,2664555.7,29533.131,29772.927,0.032016403,129.6395017
16,3.902321223,352.0731083,5.732681091,479074.8,2714849.7,30091.945,30325.535,0.030720811,129.2677659
17,3.908727709,352.6685705,5.567762054,421426.8,2364356.1,26206.037,26406.527,0.03017357,129.1999652
18,3.897345308,351.6203775,6.947775058,655081.2,3687539.2,40873.65,41166.094,0.028187474,129.1127579
19,3.863947572,348.6574663,6.719720058,621312.4,3646206.2,40415.128,40709.112,0.029117077,129.1127579
20,3.90345894,352.1941159,6.795878883,535671.2,3051290.7,33819.98,34058.184,0.02738792,128.804952
21,3.893428046,351.3098165,6.806694542,492006.0,2694589.0,29862.236,30084.977,0.028424781,128.7049455
22,3.919826484,353.7502688,8.454791057,509748.0,2870226.8,31805.371,32057.789,0.031380645,128.804952
23,3.892092924,351.1910774,4.839411659,519044.8,2873927.4,31850.895,32058.322,0.025614086,128.7049455
24,3.934296613,355.0765181,8.050119719,421765.6,2285796.3,25325.917,25529.346,0.030797054,128.2192924
25,3.933895486,355.0860923,6.322384901,525894.8,2914590.2,32292.372,32554.607,0.032634951,128.0717975
26,3.953413551,356.8257287,1.522187331,118174.8,618930.7,6857.851,6903.349,0.026582221,127.9795845
