week,min_cell_voltage_mean,pack_voltage_mean,current_std,soc_sum,pack_voltage_sum,min_cell_voltage_sum,max_cell_voltage_sum,voltage_diff_mean,capacity
0,3.776999541,340.3631183,3.907895465,223696.0,1422856.0,15789.528,15848.118,0.015172917,134.5216211
1,3.881519007,349.9014666,9.309116116,439592.4,2484526.2,27560.473,27717.623,0.021960201,134.6798609
2,3.906851764,352.2041344,9.150404637,523439.2,2896798.4,32133.044,32309.132,0.02126502,134.6798609
3,3.908003092,352.2949452,8.782947791,778462.4,4324428.4,47974.478,48198.42,0.019877237,134.5633719
4,3.928742703,354.2183373,9.331861778,681108.4,3628826.0,40249.637,40470.103,0.021452192,134.6617412
5,3.903715099,351.9383921,8.6666107,680456.8,3686839.3,40896.557,41095.384,0.020497734,134.5633719
6,3.947928948,355.9417468,6.327846475,743857.6,3922632.5,43508.649,43738.414,0.020899769,134.4694858
7,3.930342054,354.3793024,10.14084159,389842.4,2121533.3,23529.966,23661.736,0.022068754,134.3602147
8,3.944575297,355.6541674,8.682198041,761252.8,4012217.6,44502.804,44725.512,0.020972865,134.4215293
9,3.956671758,356.7607089,8.585074931,643741.6,3302318.3,36625.76,36824.29,0.022082321,134.3602147
10,3.943082092,355.538456,7.640506124,618325.2,3379124.1,37478.184,37675.752,0.02145836,133.7474418
11,3.900956763,351.7460575,8.625669715,664589.6,3719212.3,41247.869,41479.532,0.022225369,133.2584254
12,3.914854123,353.0134799,6.972434571,571082.8,3113024.7,34520.889,34728.672,0.022885811,133.0257455
13,3.862012489,348.2812741,3.632108,469221.6,2867043.9,31792.881,32002.562,0.025773955,132.2427989
14,3.86472544,348.4985877,6.254118695,406571.6,2403701.1,26656.962,26809.618,0.02239084,131.7315617
15,3.853968341,347.5003804,5.870750709,613114.8,3664368.6,40639.774,40870.425,0.022276653,131.7315617
16,3.937241545,355.0369014,7.494653416,582032.0,3200278.0,35491.243,35689.562,0.023141191,131.7315617
17,3.911699914,352.7838512,6.517502502,513723.2,2869353.8,31816.237,32011.586,0.023851353,131.7308598
18,3.930671829,354.4684885,6.356806084,739906.0,4090427.8,45360.135,45607.161,0.021779336,131.2236353
19,3.899902357,351.7106248,7.732097233,646306.0,3708373.6,41121.3,41368.56,0.023601002,131.5334447
20,3.908422717,352.463631,7.133510329,628822.8,3558527.6,39462.007,39688.443,0.023092694,131.2236353
21,3.893181924,351.1189587,7.475195297,632477.6,3612238.9,40054.329,40287.429,0.022880478,130.7750668
22,3.928880133,354.3779614,7.009876108,533602.4,2965064.4,32873.701,33089.216,0.025942967,129.767158
23,3.888380009,350.7006105,5.116779873,572647.6,3255679.3,36099.943,36307.689,0.023549944,127.9070926
24,3.867255487,348.7708653,5.303389371,615785.6,3520068.3,39031.839,39258.007,0.02335586,127.1439094
25,3.984833654,359.4786035,6.73182424,496456.0,2485608.0,27554.251,27734.971,0.026320849,126.1954121
26,3.908074633,352.4474203,5.740436981,402326.0,2370309.6,26288.52,26421.415,0.021991555,125.2551114
27,3.9269088,354.2013059,6.222327341,256101.2,1405635.8,15584.473,15674.512,0.022999066,125.2551114
28,3.940984678,355.4917273,7.596537517,251998.4,1315214.4,14579.715,14672.745,0.024760732,125.2551114
29,3.98175837,359.2042055,4.763406393,304775.2,1520542.6,16855.353,16958.572,0.024644767,125.0536764
30,3.924914221,354.0878797,6.018709057,334543.2,1843663.3,20436.896,20571.651,0.026155295,125.2745496
31,3.986370081,359.6242395,5.482543977,303464.4,1565000.2,17348.673,17454.18,0.025159352,125.2745496
32,3.960444093,357.3152936,7.000131977,233641.2,1267370.9,14048.375,14140.252,0.026412094,125.2745496
33,3.962657342,357.5200724,5.829572069,401251.2,2037715.8,22586.474,22728.955,0.025597235,125.3216325
34,3.997718496,360.6833441,4.062812718,410837.2,2062245.3,22857.658,23008.537,0.026376379,125.3216325
35,3.938086092,355.2567994,5.781578745,378075.6,2072117.9,22969.867,23114.221,0.024475958,124.3650587
36,3.971448054,358.3096834,5.212162693,413224.8,2148845.2,23817.753,23976.563,0.026423729,125.3216325
37,3.894597852,351.3655237,6.254490102,243225.2,1393494.7,15445.866,15552.998,0.027380688,125.0059595
38,3.946848202,356.0778568,4.583174339,403021.6,2214528.6,24548.386,24702.903,0.025609828,125.0059595
39,3.931193924,354.6670519,5.812279534,519370.8,2716377.9,30108.658,30307.201,0.026005332,125.4539054
40,3.893791387,351.2339323,2.982471787,336566.8,1893174.9,20987.647,21110.225,0.022591734,125.4539054
41,3.905143613,352.3058134,3.994351265,338857.2,1862826.8,20648.097,20781.824,0.025065261,125.4539054
42,3.897801211,351.6812321,4.48023815,317152.0,1781782.4,19748.168,19883.175,0.026656486,125.5658637
43,3.868524398,349.0276967,3.915568775,262765.2,1565888.5,17355.924,17473.914,0.026294964,125.5658637
44,3.919901787,353.6686007,4.415039768,307578.4,1668205.1,18489.37,18609.569,0.025370991,125.3289041
45,3.868122499,348.9728755,2.98147789,424294.4,2466180.6,27335.306,27509.619,0.02445543,125.5658637
46,3.900048726,351.9138866,4.226897908,366635.2,2066531.2,22902.268,23061.099,0.027081986,125.4493176
47,3.908582122,352.6393703,3.470298821,396685.6,2154392.6,23878.166,24029.519,0.024469263,125.4493176
48,3.929604552,354.6292705,5.033285709,322572.8,1707754.2,18923.256,19059.906,0.028273211,125.4493176
49,3.937897328,355.3381182,4.556632938,327101.6,1763428.4,19542.83,19678.169,0.027412611,125.5812218
50,3.882924945,350.3942768,4.698325738,418484.4,2407468.5,26679.12,26868.154,0.027637021,125.4493176
