week,min_cell_voltage_mean,pack_voltage_mean,current_std,soc_sum,pack_voltage_sum,min_cell_voltage_sum,max_cell_voltage_sum,voltage_diff_mean,capacity
0,3.865423761,348.7689994,9.64774287,252924.0,1400614.1,15521.139,15637.599,0.027636683,132.6617945
1,3.861256506,348.4106071,8.237899588,436759.2,2472445.0,27398.618,27599.296,0.030534479,132.7342011
2,3.910849384,353.0556784,8.819997317,653063.2,3486757.2,38622.542,38939.242,0.032516137,132.8070083
3,3.882954418,350.5532051,5.067921733,607300.8,3459085.9,38318.268,38616.408,0.030624048,132.8809595
4,3.926443617,354.5969554,8.649293481,577380.0,3108870.8,34426.829,34729.437,0.035289203,132.8809595
5,3.908577897,352.9758144,9.125976592,647983.2,3530939.5,39095.313,39430.339,0.032648328,132.8809595
6,3.909115141,353.125463,8.841794788,687716.0,3815488.1,42242.315,42580.604,0.032564579,132.8809013
7,3.967728434,358.5828089,5.654747349,602114.8,3013783.0,33348.637,33669.415,0.03856111,132.8809013
8,3.891123642,351.5677726,8.011654847,730980.0,4013063.4,44416.854,44750.06,0.029130006,132.7414232
9,3.924127647,354.5257353,9.721999658,642774.4,3399860.2,37631.258,37936.027,0.031569706,132.7414232
10,3.904101385,352.8223593,7.860081706,766113.6,4156260.4,45995.699,46375.512,0.032688201,132.5499222
11,3.894680823,351.9136382,7.120852514,708738.4,3999678.1,44266.494,44622.199,0.03162432,132.2057201
12,3.828371713,345.9099756,5.418459255,569159.6,3664519.2,40562.462,40908.563,0.033487886,131.016292
13,3.849428051,347.8697125,3.884322598,625604.8,3792444.0,41971.186,42327.992,0.034500049,130.9168934
14,3.899390729,352.4839254,8.362647403,385642.4,2153372.4,23823.237,24038.718,0.035439701,130.9168934
15,3.931830422,355.460985,6.582637686,595591.6,3228999.5,35720.87,36002.551,0.032264882,130.7074517
16,3.883568972,350.9097898,6.15314668,620662.8,3597276.3,39810.802,40122.605,0.029884648,130.7074517
17,3.894564982,351.8040669,7.563819144,395669.2,2353366.2,26056.76,26277.823,0.034044742,130.1694413
18,3.9032082,352.6727208,7.104660892,503416.0,2829640.6,31321.326,31592.133,0.034917531,128.7678316
19,3.905355755,352.7908555,7.806833157,651625.6,3694685.5,40900.231,41241.267,0.031851203,128.6068476
20,3.927992395,354.9573473,5.311970997,532531.6,2902605.0,32124.423,32405.492,0.035096813,128.4349309
21,3.899223998,352.2357183,7.863648764,479287.6,2791847.4,30908.995,31175.225,0.034281956,128.4349309
22,3.880723954,350.614694,7.027530221,570449.6,3367554.8,37278.39,37583.3,0.032113296,128.4349309
23,3.897751485,352.1591397,6.930305538,566376.0,3239337.4,35856.247,36154.216,0.033726173,128.2185832
24,3.925646382,354.7792747,7.524156471,476137.6,2603466.0,28811.858,29060.608,0.035131544,128.1475006
25,3.947308755,356.5904853,7.105782068,639562.4,3360887.5,37203.328,37526.125,0.034259392,128.0062245
26,3.904609365,352.6707809,7.56620425,299944.0,1636431.5,18116.696,18283.941,0.036251942,127.9520058
27,3.969873411,358.6943511,4.492826249,198716.8,1030135.0,11401.855,11501.656,0.035192119,127.4964144
28,3.958824613,357.7076606,6.530701142,296528.0,1557111.6,17234.311,17383.777,0.035150764,127.1741981
29,3.994850433,361.0732219,5.483147612,388850.8,1931237.9,21367.244,21563.716,0.036476646,127.1741981
30,3.90594054,352.8442998,5.415394158,251883.6,1415945.5,15675.285,15800.821,0.032076376,127.1741981
31,3.996657652,361.1525976,2.561332664,230775.6,1137592.8,12589.424,12703.494,0.036025339,127.4964144
32,3.979135388,359.5761306,5.924759582,295503.6,1523661.3,16861.541,17018.087,0.036356495,128.358485
33,3.968038452,358.5820928,4.869513922,351690.8,1825629.8,20203.474,20381.512,0.035099228,128.358485
34,3.935123786,355.6224148,7.692680804,461041.6,2393663.8,26484.914,26714.72,0.034670027,127.6496558
35,3.930932756,355.2466166,7.106824332,345722.8,1963469.8,21731.146,21910.31,0.034957737,127.6496558
36,3.943331825,356.5132812,7.638364979,417572.4,2163625.7,23932.004,24159.809,0.037587911,126.6653521
37,3.951080841,357.0682138,5.621914364,389626.0,2066490.0,22867.734,23077.395,0.036539076,125.9515944
