week,min_cell_voltage_mean,pack_voltage_mean,current_std,soc_sum,pack_voltage_sum,min_cell_voltage_sum,max_cell_voltage_sum,voltage_diff_mean,capacity
0,3.871881681,348.9018829,3.433187294,292281.2,1764562.8,19581.006,19680.194,0.017792185,134.397618
1,3.906162434,352.0132594,9.706930746,727669.6,4021439.5,44625.705,44838.686,0.019885023,134.5430758
2,3.878772535,349.5272527,6.32028062,749003.2,4334832.8,48105.827,48328.771,0.019243015,134.5734904
3,3.885942605,350.1279172,4.702647134,604148.4,3463571.2,38441.101,38592.458,0.01592732,135.3400348
4,3.903642888,351.7981958,5.072185403,334938.0,1835907.6,20372.539,20467.901,0.019136396,135.3400348
5,3.948811146,355.8906744,8.92268104,539628.0,2785753.5,30910.083,31072.978,0.021363956,135.3400348
6,3.890121822,350.5935287,8.547913455,589356.8,3334129.3,36996.356,37187.912,0.021043773,134.5734904
7,3.990876752,359.6979812,5.65351444,311778.8,1601860.9,17772.513,17874.638,0.022155228,134.0550708
8,3.916780892,353.0058223,7.952378658,632676.8,3462087.2,38416.232,38608.512,0.021114907,134.0550708
9,3.96089235,356.9957892,7.358045276,597883.6,3198401.2,35486.871,35681.2,0.021220037,134.0289388
10,3.951066049,356.1114867,7.802667524,628778.4,3240785.3,35957.057,36137.339,0.019870466,133.7005475
11,3.933374522,354.5533373,10.02837498,613752.0,3355996.9,37232.42,37443.93,0.022861843,133.4651712
12,3.856397088,347.5829058,4.071309233,719141.6,4290854.7,47610.157,47850.672,0.021191459,132.9737947
13,3.886020086,350.3168095,3.67412718,537593.2,3138390.2,34816.54,35021.803,0.02440886,132.8161432
14,3.921357321,353.5286575,8.115722966,511920.4,2829251.7,31382.435,31582.245,0.02473946,132.533109
15,3.923085566,353.6822318,6.046329256,738173.2,4011026.6,44493.998,44744.427,0.023451881,132.5314872
16,3.92272287,353.6854504,6.383772119,481605.2,2613261.3,28984.04,29166.579,0.024812848,132.5314872
17,3.910788316,352.6215657,7.797339951,600213.6,3368394.5,37359.271,37595.629,0.025541418,131.8342092
18,3.884644735,350.2645283,6.133322015,592142.8,3494043.2,38752.949,39003.161,0.025814476,131.7641066
19,3.919569618,353.4278289,6.72763223,651922.8,3614253.8,40084.509,40329.136,0.024490156,131.7212748
20,3.95385313,356.5702385,7.73928017,554044.0,3007692.5,33353.402,33561.14,0.025007292,131.7212748
21,3.92265382,353.7545983,8.624098866,629646.4,3539136.7,39247.077,39492.124,0.025485416,131.5258815
22,3.938164698,355.2083158,7.693054127,679478.4,3659611.2,40578.341,40827.686,0.025765085,131.1288539
23,3.897165698,351.4781625,8.271156983,545170.8,3061841.5,33948.692,34173.776,0.025962596,130.7573883
24,3.939328346,355.360265,7.335582655,594287.6,3226836.4,35774.019,36010.771,0.026539762,130.7099372
25,3.920579102,353.6696428,6.5559985,569385.2,3212555.7,35614.217,35864.348,0.028008813,130.5397524
26,3.973994338,358.5703798,5.105939418,553574.4,2843400.4,31514.468,31734.713,0.028427093,130.5317829
27,3.956856342,357.0213619,6.199270293,399445.6,2196178.1,24342.091,24516.094,0.02846229,130.1741061
28,3.956983444,357.0765448,1.802352922,401983.2,2160792.1,23945.766,24127.723,0.030017223,129.6014661
29,3.876463794,349.6478157,0.0,100906.0,584261.5,6477.571,6508.384,0.018439856,127.6660799
30,3.992289879,360.3212948,7.895568364,472870.8,2425820.4,26881.581,27053.302,0.026877358,127.4647573
31,3.937261563,355.3439581,4.855256323,187416.0,1022483.0,11330.527,11410.706,0.028806792,127.2421727
32,3.93293968,354.9457867,5.718583963,467291.2,2506811.8,27779.05,27952.941,0.025954878,127.4647573
33,3.987312065,359.9337759,5.174385765,398214.0,2125445.9,23550.186,23721.359,0.030765687,127.1564863
34,3.948847455,356.457891,5.272979049,294528.8,1505055.9,16673.788,16785.63,0.026698045,127.1564863
35,3.950040622,356.5856867,7.268597828,362656.0,1901028.6,21059.959,21228.608,0.031895594,127.1753919
36,3.976150107,358.9634204,3.980262918,504418.4,2635818.3,29198.727,29426.955,0.031264485,127.5824081
37,3.977721421,359.0883784,6.710373147,445060.4,2443930.2,27077.734,27272.867,0.030048693,127.274124
38,3.950812051,356.721799,5.780975123,475979.2,2456357.4,27206.333,27423.276,0.032277439,127.3785554
39,3.92123896,353.9760687,7.765752988,304529.2,1647351.3,18248.147,18390.538,0.029057327,127.5824081
40,3.924922775,354.3689229,5.140757647,362817.6,1956173.7,21666.385,21838.09,0.030651555,127.9570291
41,3.914076875,353.39475,5.710648961,304114.0,1671186.1,18509.836,18663.499,0.032583785,127.6893913
42,3.888749643,351.0452349,4.723072098,373838.8,2132383.5,23621.302,23810.854,0.030852416,127.9570291
43,3.958973604,357.5087016,4.999191779,289057.6,1468648.2,16263.967,16394.772,0.031796899,127.9570291
44,3.884679055,350.7035519,5.657846393,239902.8,1386485.7,15357.651,15485.243,0.032029764,127.6893913
45,3.92267343,354.2214648,6.631970735,296412.0,1633175.2,18086.017,18242.998,0.034129995,127.34316
46,3.916421036,353.6861988,5.404177779,415636.8,2269654.0,25132.886,25359.703,0.035428347,127.34316
47,3.867807139,349.2234503,4.010503996,281676.0,1687068.1,18686.463,18847.262,0.033447537,127.34316
48,3.91427831,353.5113723,5.256958474,272923.6,1483384.3,16424.63,16575.284,0.035645815,127.4842124
49,3.95199075,356.9904244,6.27219369,287899.6,1494349.4,16542.564,16703.226,0.037938031,127.5019461
50,3.917833055,353.8385344,6.119155817,406399.2,2210833.1,24478.373,24704.905,0.035892031,127.6925317
51,3.91598462,353.6921035,5.331262524,404067.6,2150014.3,23803.992,24010.054,0.033529141,127.7219508
52,3.921707288,354.2440912,5.832473509,490056.4,2643574.2,29265.578,29540.103,0.036911992,127.8040092
53,3.926881422,354.6930736,5.10442141,479448.8,2597823.7,28762.236,29013.766,0.034305724,127.8040092
54,3.915055186,353.5592765,5.689629325,459011.2,2542482.8,28157.988,28387.292,0.033921718,127.8040092
55,3.930062121,354.9566885,6.439223104,270873.6,1443291.2,15979.78,16128.773,0.036435064,127.5761271
56,3.897111434,351.8824256,6.130398735,334036.0,1909948.4,21153.085,21330.256,0.032306799,127.5631996
57,3.908695236,353.0135794,5.792703734,400960.4,2282033.3,25269.829,25490.307,0.034631568,127.2853293
