week,min_cell_voltage_mean,pack_voltage_mean,current_std,soc_sum,pack_voltage_sum,min_cell_voltage_sum,max_cell_voltage_sum,voltage_diff_mean,capacity
0,3.823273242,344.7276013,10.65072613,102759.6,652049.9,7231.658,7282.814,0.027119584,133.8248894
1,3.91799763,353.2868895,10.14727216,602386.8,3333560.4,36971.315,37199.388,0.024327227,133.8773419
2,3.864510227,348.4598193,9.768190795,589923.6,3565176.0,39541.372,39787.382,0.025216466,133.8773419
3,3.913105621,352.8616383,8.33580914,720556.0,3949932.0,43805.96,44072.988,0.024615548,133.8773419
4,3.940689197,355.3484713,7.577843751,764168.8,4057719.0,44999.684,45271.186,0.024024005,133.8248894
5,3.959814911,357.1487224,7.768392827,678619.6,3586734.9,39770.804,40033.988,0.027072437,133.9818752
6,3.939693851,355.3001049,7.145063339,766349.2,4038584.7,44783.085,45061.355,0.024730002,133.6731858
7,3.948472402,356.1666626,7.400581913,526131.6,2792207.7,30954.837,31190.865,0.03006744,133.6731858
8,3.934816667,354.8787897,9.407085662,761368.8,4153881.0,46058.192,46367.456,0.02664561,133.5611253
9,3.924484975,354.0041667,7.567937053,559642.0,3008325.3,33351.256,33597.185,0.029234387,132.8686539
10,3.933641188,354.7940153,8.637367328,446300.0,2419797.6,26830.443,27010.213,0.027257609,132.8000751
11,3.876984542,349.7311449,6.062777182,635042.0,3652741.7,40496.818,40774.941,0.027610199,132.307573
12,3.851804433,347.4744928,3.890906349,516407.6,3109306.2,34467.805,34725.022,0.028822389,131.8229664
13,3.833230763,345.7723468,4.102804601,590989.2,3687068.6,40877.321,41157.901,0.027077284,131.5102894
14,3.861766928,348.345257,5.421117439,657299.6,3928712.8,43556.49,43836.295,0.025989201,131.0797117
15,3.836003479,346.0448313,5.294383953,599535.2,3719854.1,41237.517,41517.612,0.026648633,131.5102894
16,3.878292247,349.8082121,5.557848136,521795.6,3138710.8,34800.382,35007.063,0.02348682,131.0797117
17,3.902752313,352.1795623,7.650157962,599454.4,3415333.4,37850.95,38133.094,0.02949068,130.3416071
18,3.894788763,351.4642304,7.441873248,635326.0,3534751.2,39172.96,39463.041,0.029507905,129.1243933
19,3.89612441,351.5637281,7.222003957,628593.6,3633578.8,40271.573,40549.188,0.027531461,129.1243933
20,3.877053476,349.8262012,5.549457912,614966.4,3619100.8,40113.089,40384.395,0.026969235,129.1243933
21,3.923966192,354.1226393,5.123712259,609306.0,3342716.7,37043.034,37311.423,0.029400565,129.1243933
22,3.957426927,357.1969243,6.3643087,630189.2,3320143.4,36785.414,37070.07,0.030875788,128.8867925
23,3.880283735,350.2274169,6.359250895,383456.0,2254244.6,24976.01,25184.217,0.032306136,127.3282639
24,3.918916927,353.7682228,6.137176702,587591.6,3247794.0,35980.954,36278.961,0.033151674,127.309663
25,3.905942218,352.5848204,4.111878671,540575.6,3093394.0,34269.835,34558.534,0.032976964,126.8264546
26,3.922843287,354.0748533,5.278754171,371783.2,2018403.2,22363.172,22531.582,0.030158412,126.5628188
27,3.968846759,358.3349895,4.9106779,313895.6,1616489.8,17904.375,18049.479,0.032039008,126.3728205
28,3.934519851,355.2502296,6.108244873,419474.8,2197564.3,24339.144,24537.222,0.032199876,126.3029959
29,3.928623374,354.7024441,5.414750612,324748.0,1766823.3,19568.702,19739.199,0.033882164,125.7382594
30,3.94155427,355.9555258,6.855660715,394584.8,2090287.0,23146.815,23345.362,0.033476234,125.7382594
31,3.918865519,353.820658,5.954302463,358948.4,1960075.4,21711.146,21880.823,0.031895976,125.7382594
32,3.979213678,359.324033,5.246468921,500434.4,2558034.0,28330.319,28564.137,0.033276651,125.9903179
33,3.952749337,356.9032085,5.963797721,364429.2,1898670.9,21027.178,21207.348,0.032928466,125.9903179
34,3.915942597,353.5357127,5.09460774,456861.6,2548182.7,28227.438,28448.331,0.032117594,125.9903179
35,3.855535308,348.0822552,3.575658545,311712.4,1896508.7,21006.426,21192.251,0.033885469,125.9674801
36,3.90898822,353.0042784,4.805590361,280878.8,1514070.9,16765.68,16916.664,0.034900669,125.7577705
37,3.901893888,352.3596554,4.324334552,300286.0,1634480.7,18098.901,18261.52,0.034827316,125.6955714
38,3.919701022,353.9497582,6.075413609,289814.4,1558557.6,17259.556,17406.156,0.033348567,125.2794122
39,3.913424842,353.3988461,5.408527797,380802.8,2058937.0,22799.185,22991.874,0.032761585,125.0940677
40,3.927801003,354.7383548,5.052853019,368701.2,1958921.7,21689.714,21883.192,0.034809228,123.3571923
41,3.883050162,350.6151778,4.296957924,451648.4,2528780.0,28005.299,28233.711,0.0314953,123.1882987
42,3.898487937,352.0459598,4.734755254,415074.0,2331688.7,25821.038,26044.285,0.03367186,123.1882987
43,3.886874859,351.0167586,4.613335304,394088.8,2192155.2,24273.839,24479.688,0.033050959,123.2154001
44,3.920852123,354.127893,5.226248084,348162.0,1848937.4,20470.525,20656.777,0.035347311,123.3073483
45,3.881651467,350.5138072,4.227989949,495610.4,2823127.1,31266.735,31519.485,0.032975432,123.3073483
46,3.958370743,357.5923152,5.306890725,437200.4,2284826.4,25293.939,25530.426,0.037110023,123.4302654
47,3.889706057,351.228242,4.465884345,247596.0,1431342.2,15851.574,15982.413,0.031819129,123.4302654
48,3.916802708,353.7622924,4.063663152,414612.0,2234400.0,24739.324,24948.976,0.033263407,123.4302654
49,3.901477678,352.381985,3.605583409,335440.4,1874894.4,20758.091,20940.486,0.03370663,122.8633189
50,3.884671092,350.8784138,5.146447027,351329.2,1974391.6,21857.849,22060.766,0.0356738,122.8633189
51,3.909029683,353.1359331,4.504117223,397193.2,2110515.2,23360.944,23582.153,0.036652894,122.6124668
52,3.946138803,356.5103771,5.417962828,328926.0,1748103.9,19351.102,19525.818,0.035803754,122.4373336
53,3.913290137,353.4836804,4.386677838,484996.0,2617205.1,28974.329,29224.232,0.033792444,122.021865
54,3.940106172,356.0062375,5.628938539,357245.6,1863287.0,20621.475,20825.102,0.038741846,121.8784532
55,3.963229216,358.1112199,5.306333615,411682.4,2108770.2,23338.954,23559.512,0.037322225,121.8784532
56,3.905973745,352.7883396,4.101654263,375170.4,2003322.8,22179.216,22384.183,0.036211292,121.8784532
57,3.94428954,356.3069833,5.206224667,402278.0,2061628.2,22821.65,23034.607,0.036741698,121.8784532
58,3.901286755,352.3326876,3.797278812,362899.2,1993600.0,22075.134,22258.646,0.032371512,120.926519
59,3.901152861,352.3938543,4.978211578,357031.6,1996710.6,22104.65,22309.725,0.036029891,121.4989014
60,3.918953236,353.938749,4.882669918,376032.0,2059333.3,22802.996,22989.589,0.031966595,120.926519
61,3.912913785,353.4312444,4.642766242,397714.0,2153037.2,23836.549,24047.142,0.034661454,120.7881538
62,3.919116821,353.991903,5.433234529,322665.2,1775111.9,19652.724,19830.29,0.035280947,120.7778075
63,3.921588539,354.2450404,4.656691629,390800.4,2072079.4,22938.088,23146.69,0.035731301,120.5151526
64,3.925663331,354.6282055,4.95243587,438671.6,2327113.0,25759.958,25989.265,0.03483774,120.2863435
65,3.924706751,354.5061662,4.896326058,483257.2,2570990.1,28462.969,28695.931,0.031915442,120.237232
66,3.933837281,355.4148403,5.58373208,400322.4,2058499.1,22784.038,22989.142,0.03615229,120.116794
67,3.938506742,355.8481837,6.333751076,361930.0,1903737.2,21069.577,21260.521,0.035460974,119.6006052
68,3.975554389,359.2882336,6.154582243,354865.6,1797440.6,19890.148,20080.562,0.038152045,119.5357218
69,3.94255968,356.2835232,5.370985123,240602.4,1278166.5,14145.64,14277.023,0.037481272,119.5298156
70,3.904671729,352.7871616,5.287074559,496731.2,2754693.4,30487.462,30769.67,0.035985066,119.5298156
71,3.932425743,355.3220946,4.957131683,330216.4,1736676.0,19219.738,19400.747,0.036859821,119.6006052
72,3.964338246,358.1752037,5.070649622,277028.0,1418531.1,15700.456,15846.549,0.036553148,119.6923402
73,3.945479872,356.4405623,5.371219238,408049.2,2127873.0,23553.165,23763.674,0.034595782,120.0391252
74,3.898957099,352.1570622,4.864883301,320592.8,1828059.0,20239.55,20420.771,0.034400764,120.1211481
75,3.940170144,355.9658233,6.053587529,360168.4,1886390.6,20880.504,21059.35,0.033331322,120.2046631
76,3.915859057,353.7143226,5.807734756,383087.6,2061071.4,22815.262,23004.282,0.031715206,120.2046631
77,3.975943937,359.2751406,6.42838039,207477.2,1069926.2,11841.539,11945.842,0.034965495,120.599781
78,3.886808337,351.0911049,4.877912943,396800.0003,2207596.698,24438.40197,24632.19197,0.030572907,120.599781
79,3.911269555,353.3654349,5.087877322,438682.8007,2448388.996,27100.56494,27335.84694,0.033468601,120.599781
80,3.911703792,353.3791861,5.000573723,380604.0,2143181.8,23723.869,23922.449,0.032492638,120.599781
81,3.931739876,355.2404367,5.495761722,337112.8002,1806244.599,19991.57599,20160.08099,0.032997068,120.599781
82,3.892013146,351.5640676,4.808288097,352021.2,1940379.1,21479.53,21653.701,0.030397909,120.5979296
83,3.906064316,352.8842411,5.71699157,400941.2009,2224540.396,24622.97992,24828.26392,0.031891338,120.6638626
84,3.905000632,352.7486556,4.855030536,306276.4,1664895.1,18430.153,18578.218,0.030870939,120.5979296
85,3.964350063,358.19797,5.746857494,371754.0,1898123.2,21008.81,21188.637,0.033769489,119.7963565
86,3.908618764,353.1105163,4.908365817,402747.6,2189429.5,24234.856,24439.798,0.03359848,118.9663094
