week,min_cell_voltage_mean,pack_voltage_mean,current_std,soc_sum,pack_voltage_sum,min_cell_voltage_sum,max_cell_voltage_sum,voltage_diff_mean,capacity
0,3.848300364,346.9683148,9.703852461,158544.8,959659.8,10643.85,10695.39,0.018542459,133.7662457
1,3.899077333,351.5705438,10.1834079,524861.2,2925481.0,32445.17,32609.036,0.019949671,134.1274845
2,3.858240204,347.8446884,3.961621235,945058.0,5379455.4,59666.431,59894.296,0.014850807,134.2513371
3,3.959229941,357.0513983,7.406301856,579402.8,3028062.9,33577.326,33747.505,0.019862898,134.4965615
4,3.939416312,355.286059,9.358613485,751235.2,3964890.4,43964.358,44176.061,0.019624269,134.4965615
5,3.945766068,355.9044485,7.164127648,499306.4,2607156.6,28904.823,29055.559,0.020874043,134.4965615
6,3.930821171,354.5699782,6.034379138,634007.2,3263337.3,36177.074,36358.871,0.019695499,134.4074109
7,3.944893643,355.9060849,8.423786457,654544.0,3454623.2,38293.111,38492.672,0.021392176,133.7837197
8,3.862036296,348.3869023,6.608000223,585147.2,3472482.6,38495.662,38682.837,0.019107112,133.7837197
9,3.93647461,355.1877931,7.94632643,685488.0,3825622.9,42400.667,42646.012,0.023018985,133.6592865
10,3.952122111,356.6627812,10.30509644,606401.6,3262176.6,36152.019,36347.795,0.022969858,133.3701064
11,3.910484666,352.9292168,9.503496186,638668.4,3545551.9,39287.851,39514.985,0.022902213,132.0481382
12,3.906881328,352.6241384,7.588505585,674874.0,3829880.8,42436.539,42679.843,0.02294427,131.8566728
13,3.931847179,354.9764604,4.732117508,622679.2,3397904.3,37638.154,37888.192,0.026381779,130.5483591
14,3.905119016,352.5756921,5.294067864,452826.8,2613499.5,28949.949,29143.334,0.026924115,129.6897467
15,3.898860135,352.0260664,5.840523094,608095.6,3461538.8,38340.717,38595.772,0.026411376,129.610746
16,3.880824294,350.4242869,6.344664988,574681.2,3264137.9,36148.849,36386.255,0.025637353,129.5452641
17,3.917177605,353.8156638,7.635298913,361226.0,1964591.1,21750.293,21917.803,0.029833673,129.3877188
18,3.883533628,350.7480548,4.293881226,558241.2,3204809.8,35486.806,35714.621,0.025250627,129.2250612
19,3.862332474,348.7950964,7.055712626,754966.0,4617746.3,51141.143,51451.992,0.024499625,128.5308241
20,3.874620095,350.006957,5.434648683,515333.6,2970326.6,32884.853,33115.54,0.02774352,127.3953524
21,3.860045754,348.6837147,5.368212194,576828.4,3406542.8,37712.621,37971.767,0.026970422,127.3856885
22,3.957678196,357.6111063,6.788254271,673948.4,3603507.7,39884.054,40175.701,0.029600308,127.0891248
23,3.990763921,360.6367045,7.247485499,495766.0,2467963.4,27310.169,27521.355,0.030578525,126.9402221
24,3.934806741,355.5110615,5.302086372,594726.8,3225135.4,35698.427,35984.173,0.032074573,126.9402221
25,3.950565426,356.9029601,6.392876902,671661.6,3619063.1,40062.75,40353.042,0.029334872,126.9316425
26,3.92045737,354.1949824,6.438120247,309518.0,1707149.2,18896.484,19049.451,0.032147647,126.9402221
27,3.988518027,360.5851023,7.666808646,143661.2,734580.9,8126.167,8188.163,0.030869326,126.4584474
28,3.957597932,357.7294533,6.540157475,656208.8,3130098.8,34626.553,34882.263,0.029967582,126.4584474
29,3.949534497,356.9797282,5.255661452,289091.2,1551918.6,17171.2,17314.13,0.033349034,126.4642738
30,3.94885873,356.8384503,4.895444562,501950.0,2696140.9,29839.292,30068.32,0.031909646,126.4642738
31,3.929186075,355.0371918,6.636270125,429813.6,2316041.0,25632.181,25819.989,0.028679827,126.4584474
32,3.897201572,352.0200052,5.862933499,218661.6,1232144.9,13637.543,13743.902,0.028637032,124.2141574
33,3.97083594,359.776266,8.159662529,720052.8,3714952.9,41002.053,41268.834,0.028300837,123.7472541
34,3.910117802,353.3261304,3.805352614,396437.2,2219214.0,24564.163,24736.994,0.030367444,123.5609877
35,3.946154637,356.6558134,3.85073318,556120.0,3055197.8,33810.698,34076.273,0.033106572,123.5609877
36,3.915596716,353.8658659,6.393509705,345243.2,1851421.6,20485.267,20653.604,0.031634176,123.5817797
37,3.900422295,352.5701572,5.706949921,307902.0,1706747.7,18880.805,19049.245,0.034630228,123.5817797
38,3.884963472,351.1010345,4.040032317,418300.0,2375157.6,26280.396,26484.252,0.030089263,123.5609877
39,3.88822426,351.4967238,3.470518345,288336.4,1590686.7,17595.216,17742.599,0.03229199,123.0538685
40,3.900038487,352.5721053,5.035751434,340795.2,1882581.6,20823.599,21008.382,0.034399667,123.0538685
41,3.914579178,353.8551029,4.781196253,391999.6,2113035.1,23375.751,23565.947,0.031843869,122.6784507
42,3.923088032,354.6631024,3.868473655,289616.8,1538444.6,17017.176,17168.071,0.034553551,122.6784507
43,3.962230964,358.2700139,4.730257947,371062.0,1882694.1,20821.046,21005.83,0.034910054,122.6784507
44,3.862553127,349.1113724,3.254191314,486546.0,2863920.0,31686.751,31937.038,0.030881065,122.5783133
45,3.902955192,352.8500454,3.494231491,440007.2,2387721.0,26410.434,26627.193,0.032007378,122.5783133
46,3.897791656,352.4130909,3.2234655,326510.8,1752307.7,19379.838,19542.944,0.032752891,123.3186265
47,3.918757689,354.3876198,3.870203325,361153.6,1905133.6,21065.828,21255.694,0.035131006,123.3186265
48,3.912407294,353.8730908,5.243814519,419274.0,2303982.7,25475.161,25713.053,0.036963729,123.6178716
49,3.87033136,349.8777554,3.722936194,361194.8,2082168.0,23032.29,23221.189,0.031334274,123.8415797
50,3.888656847,351.6809458,5.039069335,367820.4,2059962.9,22778.059,22983.254,0.034982698,123.8733767
51,3.87039212,349.9310752,4.600525726,460910.4,2580113.6,28534.12,28793.708,0.03472551,124.1455223
52,3.911455329,353.6716865,4.582698701,509239.2,2781832.7,30766.208,31035.094,0.033763556,124.2374424
