week,min_cell_voltage_mean,pack_voltage_mean,current_std,soc_sum,pack_voltage_sum,min_cell_voltage_sum,max_cell_voltage_sum,voltage_diff_mean,capacity
0,3.804608272,342.682673,5.447753237,200704.0,1274960.0,14155.855,14229.665,0.021301504,133.7587564
1,3.884833469,349.9128047,7.925119785,680001.2,3841318.3,42647.099,42863.532,0.019784086,134.1401428
2,3.850011274,346.7428299,6.800697668,802103.2,4551538.6,50536.636,50770.517,0.018390221,134.2074283
3,3.939782296,354.9256767,7.14243596,706858.8,3695786.7,41027.404,41247.215,0.022059837,134.2074283
4,3.904170869,351.6734514,5.943670242,381291.6,2121494.4,23553.186,23667.298,0.019497302,134.1401428
5,3.958061202,356.6756711,7.201578425,449346.0,2345961.3,26033.461,26212.272,0.027196481,134.0701679
6,3.986137733,359.2122873,4.149416817,531164.8,2628606.6,29169.681,29359.47,0.026038642,133.9136788
7,3.954406074,356.3206672,7.447790845,422394.4,2300523.1,25533.716,25679.993,0.023668073,133.6552516
8,3.919606753,353.2230406,7.155303493,643165.2,3632219.2,40308.554,40537.121,0.023561142,133.3230449
9,3.957921023,356.7256911,3.514773349,550938.0,2916943.6,32364.775,32587.387,0.02742427,132.6954385
10,3.885254901,350.151891,9.380769579,632789.2,3585477.2,39783.954,40035.952,0.024617984,132.2769083
11,3.872087809,349.0501794,7.985239408,551432.4,3181411.0,35293.232,35527.623,0.027391782,132.1846092
12,3.890841291,350.7969212,7.527398523,638173.2,3540310.8,39267.315,39525.975,0.026442562,131.863468
13,3.889737802,350.7471312,3.730125211,739391.2,4191348.4,46483.177,46799.626,0.028042377,131.7166896
14,3.901187129,351.7518752,5.416234132,529902.0,3035779.6,33671.399,33922.291,0.030028483,131.2026323
15,3.869384031,348.9082269,6.202053185,526355.6,3069860.3,34045.12,34295.419,0.028823014,131.1254365
16,3.923249689,353.8433094,7.028788738,334153.2,1806643.7,20032.192,20187.451,0.03067495,131.1179812
17,3.883012411,350.1995361,6.723754944,508414.8,2909568.6,32263.389,32510.294,0.029540776,130.6177836
18,3.981896175,359.2428852,7.575994588,408343.6,2121873.3,23521.991,23713.21,0.033188864,130.2075496
19,3.937025349,355.1250187,8.638908068,554192.0,2928548.7,32468.075,32707.338,0.02949599,129.3028096
20,3.924139961,353.9364137,7.774868699,676874.0,3711427.3,41151.217,41447.561,0.028779877,129.2331989
21,3.924915744,353.9481398,6.66553965,531874.4,3034375.5,33651.191,33888.808,0.028183795,128.9549263
22,3.933925188,354.8433003,6.289656926,536633.2,2887417.4,32012.682,32221.32,0.026368247,128.9549263
23,3.930517342,354.4852074,7.445598358,667092.0,3708723.6,41123.416,41409.412,0.02714175,128.9549263
24,3.948900426,356.235224,7.389982018,616553.6,3303744.7,36626.38,36863.485,0.02645342,128.6016399
25,3.940413602,355.4649075,7.04437544,585314.8,3173435.2,35180.258,35428.967,0.028304053,128.6016399
26,3.925180551,354.0239138,6.723502871,409804.4,2202481.3,24418.014,24577.012,0.025906027,128.6016399
27,3.965272543,357.7321561,6.312602531,228338.4,1209859.1,13411.555,13513.583,0.03008341,128.2594693
28,4.009260752,361.872168,4.958346311,117806.0,559847.9,6202.795,6247.46,0.02886527,128.2594693
29,3.972494202,358.3405632,5.383794382,426740.4,2226583.2,24685.82,24838.849,0.025187424,128.2356347
30,3.902930572,352.6304509,6.42883145,549109.2,3137758.4,34769.435,34988.887,0.025229539,128.2356347
31,3.951896917,356.4458654,4.370037455,231830.4,1216100.6,13483.28,13578.447,0.028170872,128.2211892
32,3.981122915,359.0064118,7.22179442,327063.6,1629792.8,18072.132,18206.064,0.02934119,127.5364744
33,3.885109407,350.2890605,3.886124746,240313.6,1274653.1,14133.283,14225.423,0.024963615,126.737873
34,3.972865017,358.3567928,8.937059196,376878.4,2079644.6,23059.416,23212.765,0.028713783,126.3398586
35,3.93929978,355.238025,3.942971216,457130.4,2450759.6,27179.458,27356.791,0.026170812,126.1172268
36,3.93240424,354.6030156,7.381334251,537349.2,3015945.8,33448.851,33685.364,0.028152138,124.6512038
37,3.950342463,356.2359579,4.820864409,262992.8,1395554.4,15476.059,15591.062,0.029687151,124.1976782
38,3.906781602,352.2692821,6.37339191,375160.0,2044223.2,22671.535,22839.935,0.029983149,124.1976782
39,3.91548347,353.0829865,5.243397421,510653.6,2666377.9,29567.653,29771.304,0.026483506,124.1976782
40,3.946027498,355.8912521,4.491162832,331856.0,1729114.5,19172.019,19322.146,0.030768601,124.1995072
41,3.941021754,355.5099333,5.332185993,356490.4,1854783.3,20561.035,20731.199,0.032428213,124.1995072
42,3.945735023,355.8327367,5.595854294,309536.4,1587567.2,17603.669,17740.808,0.030541777,124.1995072
43,3.895928472,351.3210057,3.447917718,469198.8,2572842.5,28530.513,28728.397,0.027038719,123.9185889
44,3.89219834,351.0218704,4.359453818,272902.8,1512341.9,16768.902,16898.028,0.029963061,123.7574324
45,3.93945616,355.3973566,3.650427236,376618.4,1970946.6,21847.355,22010.281,0.029284706,123.7574324
46,3.925015841,354.1372137,4.304425181,510954.4,2711061.5,30047.955,30281.964,0.030339657,123.792131
47,3.864755136,348.5193928,5.40135069,431787.6,2477759.5,27475.089,27662.217,0.026242047,123.9185889
48,3.876803462,349.6172345,3.254723625,398702.8,2315080.1,25672.169,25843.934,0.025961557,125.2717861
49,3.90774932,352.4455656,4.226711661,361709.6,2026683.6,22471.038,22635.021,0.028453531,125.3247944
50,3.899173568,351.7103962,4.949260737,313050.0,1710413.3,18960.864,19101.639,0.028690772,125.5914256
51,3.909457758,352.664652,4.928404481,361244.0,1977940.8,21926.31,22102.074,0.031409778,125.5914256
