week,min_cell_voltage_mean,pack_voltage_mean,current_std,soc_sum,pack_voltage_sum,min_cell_voltage_sum,max_cell_voltage_sum,voltage_diff_mean,capacity
0,3.864962674,348.4367475,7.264422876,261570.4,1659509.6,18409.564,18518.012,0.023908306,132.8131707
1,3.869904568,348.9649773,9.553397886,422374.4,2364437.7,26220.959,26388.45,0.025005712,132.9656204
2,3.911509185,352.7758693,9.788113264,724066.8,3748764.0,41560.998,41845.139,0.026299308,133.3213
3,3.93042533,354.5099204,9.383989704,613265.6,3367249.3,37333.549,37581.813,0.026726423,133.4807506
4,3.956977649,357.0575787,9.377504707,689342.0,3553137.5,39379.427,39672.953,0.030265313,133.4807506
5,3.96180719,358.0428611,8.556091393,715239.6,3732541.8,41282.535,41595.147,0.030233224,133.4783634
6,3.942257275,355.7741255,9.539618394,598044.4,3158749.8,35002.872,35269.173,0.030362785,133.3213
7,3.968687587,358.2765008,8.322746273,686934.8,3486704.7,38624.812,38940.6,0.033081935,133.143171
8,3.917841122,353.6859729,8.890070046,711706.8,3847000.5,42617.566,42951.961,0.031775971,132.4447447
9,3.90716055,352.6975316,8.980536552,628666.4,3473084.9,38473.813,38790.005,0.032664919,132.0996172
10,3.886046972,350.8783566,7.688699275,729367.6,4067977.7,45056.328,45421.881,0.031931089,132.0856032
11,3.86613537,349.0851555,8.561920933,659046.4,3752531.0,41560.567,41896.549,0.032244507,131.4268812
12,3.864244773,348.9620278,6.712087858,548926.4,3191888.8,35346.98,35639.843,0.033289212,130.9752994
13,3.893770082,351.7084376,6.189674264,665978.8,3972743.5,43993.534,44360.246,0.035067097,130.7762373
14,3.892669494,351.635391,6.099005711,437080.4,2497312.5,27647.767,27905.433,0.036462379,130.0139197
15,3.915712235,353.7731427,7.298603113,571967.6,3087251.2,34170.924,34460.447,0.033530674,129.4625639
16,3.874805756,349.8496565,6.821125304,489808.0,2760664.8,30571.054,30828.792,0.031559773,129.2622947
17,3.937093665,355.6301276,7.263127247,680184.4,3607107.7,39935.901,40269.653,0.033719138,128.6185707
18,3.853901857,348.059873,5.632580847,622508.4,3635455.0,40258.282,40577.626,0.031543116,128.491584
19,3.970888725,358.7413457,6.346893003,591344.8,3075882.1,34051.109,34328.143,0.033098394,128.4539975
20,3.908005834,353.6063239,7.479142696,475763.2,2707592.3,29931.15,30172.622,0.031780318,128.4539975
21,3.891231419,351.5741484,7.505285609,627293.2,3486472.4,38588.592,38917.51,0.033303037,128.2477958
22,3.919048842,354.1131476,7.506123663,712938.8,3942159.5,43634.661,43993.894,0.033691718,127.7939678
23,3.911566522,353.3823827,7.634477747,576718.0,3231295.1,35768.59,36074.777,0.033238957,127.694907
24,3.899585899,352.2374949,7.06382637,661057.2,3687946.0,40825.668,41152.939,0.030907939,127.694907
25,3.891145896,351.4997821,8.033708544,482053.6,2814479.8,31156.345,31423.654,0.033374951,127.6361204
26,3.948184065,356.7587392,4.841876207,653334.4,3508654.7,38832.881,39173.474,0.035012109,127.6361204
