week,min_cell_voltage_mean,pack_voltage_mean,current_std,soc_sum,pack_voltage_sum,min_cell_voltage_sum,max_cell_voltage_sum,voltage_diff_mean,capacity
0,3.888296658,350.7827908,7.758817102,245624.0,1371830.4,15206.559,15272.015,0.017334172,133.8490005
1,3.922907797,353.9397664,9.379256785,603005.2,3215648.2,35639.731,35805.269,0.018105686,133.9016978
2,3.928163957,354.3966792,6.74570462,697808.4,3639888.5,40346.834,40497.152,0.015619429,134.4099412
3,3.941788551,355.702508,7.902403339,404503.2,2199976.9,24379.304,24503.216,0.019898602,133.9016978
4,3.952681484,356.6681054,5.952868379,541821.6,2922434.3,32388.259,32526.952,0.017210892,133.8490005
5,3.928831217,354.533541,7.345135733,536500.0,2936603.2,32543.668,32678.975,0.016518438,133.9691788
6,3.894683623,351.4804601,4.668602783,502979.2,2757978.7,30561.628,30687.146,0.016449362,133.9691788
7,3.932842142,354.9679657,8.43976172,491520.0,2588282.3,28678.159,28816.682,0.018965843,133.7787112
8,3.946129507,356.5709896,9.471186374,787028.8,4055509.5,44886.134,45084.103,0.017461007,133.8799607
9,3.8799174,350.1366385,6.063693586,696718.0,3940954.4,43671.328,43851.207,0.016577751,133.8799607
10,3.95207502,356.7354358,7.294905526,704346.4,3787785.8,41966.469,42156.383,0.018627341,133.2134564
11,3.912931448,353.1852334,6.468714066,347676.8,1983000.7,21971.527,22066.567,0.017545648,133.0764523
12,3.850291114,347.3858125,0.0,116466.8,707624.9,7843.043,7868.687,0.012589102,133.0764523
13,3.888309637,351.0781941,4.38335374,477260.4,2792318.3,30929.208,31085.42,0.020783476,132.3701109
14,3.897983465,351.8738228,5.216975015,659272.0,3758999.6,41644.102,41827.499,0.017431341,131.9711038
15,3.84849095,347.4239842,6.117466526,502110.0,3144383.3,34832.4,35001.857,0.0190705,131.8123962
16,3.874022416,349.7828425,5.724273519,491932.4,2874582.6,31839.292,32000.749,0.020128976,131.4269771
17,3.870324415,349.4354532,7.136421482,507448.4,2985032.7,33062.841,33225.758,0.019828557,131.2004059
18,3.832113394,345.9089261,5.356391137,566292.4,3711306.9,41116.467,41299.667,0.017361429,131.4269771
19,3.938660715,355.6268485,6.385930579,483215.6,2628002.0,29105.433,29259.392,0.020766783,131.2004059
20,3.876181717,349.9802733,4.509624353,577688.4,3269079.4,36207.402,36387.169,0.019591489,130.8968662
21,3.900896475,352.262278,6.437484401,527065.6,2938654.8,32543.039,32708.067,0.019887949,131.1561487
22,3.933294438,355.1910506,7.08993909,552305.2,3182845.5,35247.636,35430.188,0.020510243,131.1402991
23,3.867727419,349.2883894,6.916724946,503300.8,2974601.9,32938.95,33116.999,0.02128433,130.8968662
24,3.9317404,355.1452289,6.634131579,507373.2,2800300.4,31003.231,31176.745,0.022110501,130.825803
25,3.943802041,356.2082732,5.577918161,688022.8,3722511.1,41216.977,41435.214,0.021263532,130.5552455
26,3.930645451,355.0481304,5.774584086,456530.4,2541463.0,28136.566,28298.232,0.022502848,130.1853596
27,3.986011464,360.0733705,6.020630483,450629.6,2323006.7,25716.569,25862.193,0.022631146,129.758885
28,4.014220622,362.6644997,4.262001578,297302.0,1471480.5,16287.629,16380.063,0.02286833,129.7512207
29,3.962269694,357.8965227,7.127624976,437774.4,2325201.4,25744.663,25871.944,0.020262388,128.5420984
30,3.985470789,360.1004875,3.196564227,312245.6,1567548.8,17349.591,17447.401,0.022685791,127.7457252
31,3.971962828,358.9060121,4.758846645,331319.2,1772590.9,19620.861,19725.642,0.022755642,127.7281806
32,3.986883794,360.2713107,5.71335611,442693.6,2233003.0,24711.569,24857.887,0.02362489,127.2947949
33,3.944957845,356.5161952,4.52121624,474335.6,2434574.3,26938.634,27105.349,0.024638948,127.2947949
34,3.982729901,359.924848,6.670474185,270911.6,1393285.9,15418.617,15508.242,0.023795553,127.1175711
35,3.938905207,355.9914282,4.962776822,393197.6,2070157.3,22905.627,23043.763,0.024286322,127.1057944
