week,min_cell_voltage_mean,pack_voltage_mean,current_std,soc_sum,pack_voltage_sum,min_cell_voltage_sum,max_cell_voltage_sum,voltage_diff_mean,capacity
0,3.867456213,349.5483454,9.280828519,172583.6,980034.6,10843.429,10954.372,0.039768387,131.452622
1,3.873020822,350.0736809,9.564944161,339163.6,1985325.8,21966.335,22175.532,0.037035734,131.8506299
2,3.864803993,349.4165111,7.58331913,541948.4,2964056.3,32780.414,33095.356,0.037481643,132.2567813
3,3.950382258,357.3428088,8.542435048,638856.4,3372851.1,37291.674,37653.022,0.038728193,132.3908376
4,3.874783089,350.4324399,6.295183113,580162.8,3270912.8,36166.567,36485.777,0.034259709,132.3173213
5,3.969544613,359.7569741,1.139890302,526521.6,2653812.2,29285.974,29562.527,0.037409433,132.3908376
6,3.914655833,353.8619136,8.595469722,559421.2,2949281.4,32625.126,32915.704,0.034794319,132.3173213
7,3.925836634,354.9318217,8.76957175,453304.0,2488282.7,27525.168,27777.696,0.036787385,132.3173213
8,3.889038703,351.6816269,8.877980467,795327.6,4495293.8,49716.875,50174.635,0.036529168,131.7295844
9,3.916948476,354.1591116,8.973008427,729533.6,3895415.5,43083.704,43506.665,0.038482019,131.5552394
10,3.922776277,354.7068212,5.836021273,586589.2,3350830.5,37065.422,37372.525,0.034094137,131.2051741
11,3.862238307,349.2393039,6.038180504,678673.6,3974731.7,43964.736,44334.056,0.033953501,130.6810186
12,3.896700391,352.3892093,8.868480565,567971.6,3156416.3,34904.808,35215.439,0.035311361,129.625267
13,3.849305206,348.0665704,3.788386506,515397.6,3189577.3,35279.611,35607.233,0.037014851,128.7940192
14,3.894439569,352.199018,4.91462893,604670.4,3370514.3,37272.751,37611.029,0.036611782,128.3656413
15,3.901005348,352.8909197,6.381398482,627840.0,3521584.8,38936.541,39316.094,0.039835721,126.5018685
16,3.889428176,351.655191,5.120480389,579586.0,3315977.6,36679.473,37018.406,0.037242553,126.0103204
17,3.855254036,348.5370534,4.260510796,584317.2,3473803.1,38426.312,38784.445,0.036347171,126.0065983
18,3.894906635,352.2478346,7.186997696,505396.4,2798209.1,30945.463,31258.852,0.040647854,126.0065983
