week,min_cell_voltage_mean,pack_voltage_mean,current_std,soc_sum,pack_voltage_sum,min_cell_voltage_sum,max_cell_voltage_sum,voltage_diff_mean,capacity
0,3.870810096,350.0527665,10.25546242,254388.0,1591495.3,17605.459,17744.71,0.033958479,132.1885643
1,3.932528063,355.8332272,7.758557595,810958.0,4257825.4,47063.142,47449.912,0.034105363,132.5148375
2,3.954005953,357.8451355,7.640841035,604155.6,3149902.3,34808.619,35123.404,0.036014778,133.0469222
3,3.918194068,354.5037206,7.685053968,505137.6,2701749.7,29862.433,30124.972,0.034784159,133.0469222
4,3.926266137,355.1810407,7.572485653,688220.8,3539933.5,39125.358,39469.905,0.034571573,132.90149
5,3.948906315,357.0976864,10.05940032,601275.2,3095022.6,34226.606,34545.547,0.037497864,132.8124837
6,3.919144641,354.1923461,7.362456764,657878.4,3620390.8,40062.622,40392.9,0.032705093,132.90149
7,3.893141944,351.9725143,8.994236799,567577.2,3183908.7,35218.525,35524.742,0.034337532,132.8124837
8,3.972195683,359.3094373,3.894352321,503803.2,2557210.3,28271.296,28536.592,0.036888374,132.5558838
9,3.879459755,350.5969714,8.399703032,605452.4,3338018.7,36932.814,37250.833,0.033101284,132.4692441
10,3.89120721,351.6840824,8.471906363,677300.4,3704549.2,40989.219,41355.229,0.034639143,132.4692441
11,3.909469043,353.3342532,8.402458449,749386.4,4028530.6,44576.419,44996.949,0.038197559,131.5998173
12,3.909331937,353.2896664,6.228127243,457259.2,2540418.1,28116.171,28378.577,0.036468751,131.3671614
13,3.888581826,351.4403394,4.89533941,486677.2,2677712.6,29626.963,29913.661,0.037799026,131.3671614
14,3.888448202,351.5484892,5.762951824,588374.0,3326933.4,36804.651,37114.593,0.033472309,131.273009
15,3.908271816,353.0252646,6.134628612,874353.6,4735310.3,52427.106,52838.551,0.032469289,131.273009
16,3.870783264,349.69196,6.39567922,596018.0,3614607.9,40017.169,40344.575,0.032550369,130.9531951
17,3.845098839,347.4369144,6.880707152,493554.8,3037132.2,33613.453,33899.337,0.033251706,130.7592043
18,3.897690146,352.2325652,7.400673364,516769.6,2946202.0,32605.068,32909.468,0.036350124,129.7929349
19,3.910002208,353.2388459,8.142139155,609524.8,3447259.6,38161.899,38498.872,0.034674851,129.7342993
20,3.888616853,351.4287968,7.482474951,433570.8,2469095.2,27322.805,27549.818,0.033042019,129.7342993
21,3.892985864,351.9054947,7.501959133,505318.0,2977239.5,32942.094,33253.033,0.037373345,129.7342993
22,3.91662414,353.9554398,7.75371307,572206.8,3079929.2,34080.656,34388.241,0.035089449,129.3077798
23,3.93004612,355.3035763,7.421134684,640364.0,3558247.2,39364.883,39708.414,0.034964584,129.2643378
24,3.88939313,351.6215045,6.360913027,560539.2,3078056.4,34043.608,34337.438,0.033484901,129.2643378
25,3.900811465,352.7735192,4.353326924,176079.6,976507.9,10797.867,10901.95,0.03794228,128.8719578
26,3.993857832,362.5592893,7.49576008,124245.6,632627.2,6970.378,7067.542,0.055844277,127.7867363
27,3.948690858,357.7299586,4.254414129,264317.6,1418800.2,15664.695,15855.801,0.048613506,127.7867363
28,3.955579039,357.8661099,4.290074335,228862.8,1173595.4,12972.047,13126.912,0.047471242,127.7867363
29,3.961578718,357.9948223,8.311096856,515176.8,2676904.3,29623.754,29890.009,0.036656093,127.9693267
30,3.947743933,356.8282655,4.81221231,351301.6,1875234.5,20749.558,20929.07,0.036205103,128.8775848
31,3.992107231,360.828702,6.660832518,396312.8,2051360.5,22696.408,22900.806,0.03485252,128.8775848
32,3.962091277,358.1934418,5.261723139,398064.4,2047793.8,22653.932,22865.165,0.037852165,128.6599291
33,3.979824926,359.7741539,6.982984675,418902.4,2099004.4,23220.355,23426.415,0.035928382,128.0864039
34,3.950252879,357.0950443,5.752053979,228952.4,1192426.5,13190.954,13318.214,0.037910916,128.0864039
35,3.880173872,350.7078345,5.027285529,413370.8,2327689.3,25751.962,26000.224,0.037350713,128.0864039
36,3.904998555,353.0591266,6.13321434,359992.8,1991093.0,22022.666,22233.883,0.037512497,128.1548665
37,3.93190371,355.4306808,6.686904895,375371.2,1979997.2,21903.621,22119.992,0.038678301,127.9769913
38,3.937064014,356.0475594,5.941811025,385247.6,1995925.4,22068.171,22302.803,0.04142591,128.1548665
39,3.873372927,350.0439763,4.425311221,414580.4,2373013.0,26257.358,26524.513,0.039153933,128.409086
40,3.946560097,356.704836,6.453819694,376370.4,1986305.9,21976.972,22181.19,0.036499336,128.409086
41,3.910551985,353.5847153,5.765257031,307493.6,1704069.2,18846.922,19028.626,0.03768442,128.336106
42,3.920428072,354.6728727,5.939661934,298493.6,1613461.4,17835.46,18018.084,0.040643203,128.336106
43,3.839339115,347.2613353,3.605843746,313406.0,1903956.3,21048.772,21259.488,0.0380535,128.0805816
44,3.901512134,352.9813548,6.112903532,430932.4,2376728.2,26270.821,26552.154,0.042345679,128.0805816
45,3.886518631,351.4515244,5.038218962,383906.4,2144986.2,23718.83,23960.661,0.039726026,128.0805816
46,3.90181971,352.9399571,4.82353108,560908.8,3119297.8,34488.107,34809.402,0.037788818,128.0805816
47,3.910736065,353.5719871,6.988324161,412514.8,2187782.0,24197.222,24454.474,0.041465012,128.0805816
48,3.932964605,355.6266163,6.907483462,323744.0,1731561.0,19149.341,19342.958,0.039739327,127.6381652
49,3.94777277,357.1090138,5.597560591,491508.0,2663360.6,29447.409,29741.93,0.039546106,127.6381652
50,3.854580137,348.3038516,5.171361657,387634.0,2293413.7,25375.376,25614.289,0.035165336,127.2085992
51,3.9267868,354.8941792,6.502802758,418074.0,2257343.5,24977.878,25219.725,0.038460683,126.8295044
52,3.937226405,356.0015566,6.566558229,386330.8,2000902.3,22128.958,22340.053,0.037555881,125.982492
53,3.933901533,355.8796479,7.097473967,325858.4,1693629.6,18719.058,18919.278,0.041460132,125.9460528
54,3.888708092,351.7714294,4.728345106,440732.0,2453983.9,27128.076,27387.141,0.037067602,123.6588443
55,3.913762888,353.7168472,5.235530697,436593.6,2563612.2,28379.177,28631.201,0.038818328,123.4763954
56,3.874991743,351.1039499,5.113932781,473481.2,2755692.7,30421.713,30681.745,0.032799975,123.0008398
